a (letter)	/ˈeɪ/
justification	/ˌdƷʌstəfəˈkeɪʃən/
jut	/ˈdƷʌt/
juvenile	/ˈdƷuːvəˌnaɪl, -vənəl/
juxtapose	/ˈdƷʌkstəˌpoːz/
k	/ˈkeɪ/
ks	/ˈkeɪz/
kaleidoscope	/kəˈlaɪdəˌskoːp/
kangaroo	/ˌkæŋgəˈruː/
karat	/ˈkærət/
karate	/kəˈrɑt̬i/
keel	/ˈkiːl/
keen	/ˈkiːn/
keep	/ˈkiːp/
kept	/ˈkεpt/
keeper	/ˈkiːpɚ/
keeping	/ˈkiːpɪŋ/
keepsake	/ˈkiːpˌseɪk/
keg	/ˈkεg/
kennel	/ˈkεnəl/
kerchief	/ˈkɚtʃəf, -ˌtʃiːf/
kernel	/ˈkɚnəl/
kerosine	/ˈkεrəˌsiːn, ˌkεrəˈ-/
ketchup	/ˈkεtʃəp, ˈkæ-/
kettle	/ˈkεt̬əl/
key	/ˈkiː/
keyboard	/ˈkiːˌbord/
keyhole	/ˈkiːˌhoːl/
keynote	/ˈkiːˌnoːt/
khaki	/ˈkæki, ˈkɑ-/
kick	/ˈkɪk/
kid	/ˈkɪd/
kidnap	/ˈkɪdˌnæp/
naped	/-ˌnæpt/
naping	/-ˌnæpɪŋ/
kidney	/ˈkɪdni/
kill	/ˈkɪl/
killer	/ˈkɪlɚ/
killing	/ˈkɪlɪŋ/
kiln	/ˈkɪl, ˈkɪln/
kilo	/ˈkiːˌloː/
kilogram	/ˈkɪləˌgræm, ˈkiː-/
kilometer	/kɪˈlɑmət̬ɚ, ˈkɪləˌmiː-/
kilowatt	/ˈkɪləˌwɑt/
kin	/ˈkɪn/
kind	/ˈkaɪnd/
kindergarten	/ˈkɪndɚˌgɑrtən, -dən/
kindhearted	/ˌkaɪndˈhɑrt̬əd/
kindle	/ˈkɪndəl/
kindly	/ˈkaɪndli/
kindness	/ˈkaɪndnəs/
kindred	/ˈkɪndrəd/
king	/ˈkɪŋ/
kingdom	/ˈkɪŋdəm/
kink	/ˈkɪŋk/
kinship	/ˈkɪnˌʃɪp/
kiss	/ˈkɪs/
kit	/ˈkɪt/
kitchen	/ˈkɪtʃən/
kite	/ˈkaɪt/
kitten	/ˈkɪtən/
kitty	/ˈkɪt̬i/
knack	/ˈnæk/
knapsack	/ˈnæpˌsæk/
knead	/ˈniːd/
knee	/ˈniː/
kneecap	/ˈniːˌkæp/
kneel	/ˈniːl/
knelt	/ˈnεlt/
kneeled	/ˈniːld/
knickknack	/ˈnɪkˌnæk/
knife	/ˈnaɪf/
knives	/ˈnaɪvz/
knifed	/ˈnaɪft/
knight	/ˈnaɪt/
knighthood	/ˈnaɪtˌhʊd/
knit	/ˈnɪt/
knitted	/ˈnɪt̬əd/
knob	/ˈnɑb/
knock	/ˈnɑk/
knot	/ˈnɑt/
knotty	/ˈnɑt̬i/
know	/ˈnoː/
knew	/ˈnuː, ˈnjuː/
known	/ˈnoːn/
knowing	/ˈnoːɪŋ/
knowingly	/ˈnoːɪŋli/
know–it–all	/ˈnoːɪt̬ˌɔl/
knowledge	/ˈnɑlɪdƷ/
knowledgeable	/ˈnɑlɪdƷəbəl/
knuckle	/ˈnʌkəl/
Koran	/kəˈrɑn, -ˈræn/
Korean	/kəˈriːən/
kosher	/ˈkoːʃɚ/
l	/ˈεl/
ls	/ˈεlz/
lab	/ˈlæb/
label	/ˈleɪbəl/
labor	/ˈleɪbɚ/
laboratory	/ˈlæbrəˌtori, ləˈbɔrə-/
laborer	/ˈleɪbɚɚ/
laborious	/ləˈboriəs/
lace	/ˈleɪs/
lacerate	/ˈlæsəˌreɪt/
lack	/ˈlæk/
lackadaisical	/ˌlækəˈdeɪzɪkəl/
lackluster	/ˈlækˌlʌstɚ/
laconic	/ləˈkɑnɪk/
lacquer	/ˈlækɚ/
lacrosse	/ləˈkrɔs/
lacy	/ˈleɪsi/
lad	/ˈlæd/
ladder	/ˈlædɚ/
laden	/ˈleɪdən/
ladle	/ˈleɪdəl/
lady	/ˈleɪdi/
ladybug	/ˈleɪdiˌbʌg/
ladylike	/ˈleɪdiˌlaɪk/
lag	/ˈlæg/
lager	/ˈlɑgɚ/
lagoon	/ləˈguːn/
lair	/ˈlεər/
lake	/ˈleɪk/
lamb	/ˈlæm/
lame	/ˈleɪm/
lament	/ləˈmεnt/
lamentable	/ˈlæməntəbəl, ləˈmεntə-/
laminate	/ˈlæməˌneɪt/
lamp	/ˈlæmp/
lamppost	/ˈlæmpˌpoːst/
lampshade	/ˈlæmpˌʃeɪd/
lance	/ˈlæns/
land	/ˈlænd/
landing	/ˈlændɪŋ/
landlady	/ˈlændˌleɪdi/
landlord	/ˈlændˌlɔrd/
landmark	/ˈlændˌmɑrk/
landowner	/ˈlændˌoːnɚ/
landscape	/ˈlændˌskeɪp/
landslide	/ˈlændˌslaɪd/
lane	/ˈleɪn/
language	/ˈlæŋgwɪdƷ/
languid	/ˈlæŋgwɪd/
languish	/ˈlæŋgwɪʃ/
lanky	/ˈlæŋki/
lantern	/ˈlæntɚn/
lap	/ˈlæp/
lapel	/ləˈpεl/
lapse	/ˈlæps/
laptop	/ˈlæpˌtɑp/
larceny	/ˈlɑrsəni/
lard	/ˈlɑrd/
large	/ˈlɑrdƷ/
largely	/ˈlɑrdƷli/
lark	/ˈlɑrk/
larva	/ˈlɑrvə/
larvae	/-ˌviː, -ˌvaɪ/
larynx	/ˈlærɪŋks/
larynges	/ləˈrɪnˌdƷiːz/
larynxes	/ˈlærɪŋksəz/
laryngitis	/ˌlærənˈdƷaɪt̬əs/
lasagna	/ləˈzɑnjə/
laser	/ˈleɪzɚ/
lash	/ˈlæʃ/
lass	/ˈlæs/
lassie	/ˈlæsi/
lasso	/ˈlæˌsoː, læˈsuː/
last	/ˈlæst/
lastly	/ˈlæstli/
latch	/ˈlætʃ/
late	/ˈleɪt/
lately	/ˈleɪtli/
lateness	/ˈleɪtnəs/
latent	/ˈleɪtənt/
lateral	/ˈlæt̬ɚəl/
latest	/ˈleɪtəst/
lathe	/ˈleɪð/
lather	/ˈlæðɚ/
Latin–American	/ˈlætənəˈmεrikən/
latitude	/ˈlæt̬əˌtuːd, -ˌtjuːd/
latter	/ˈlæt̬ɚ/
lattice	/ˈlæt̬əs/
laugh	/ˈlæf/
laughable	/ˈlæfəbəl/
laughter	/ˈlæftɚ/
launch	/ˈlɔntʃ/
launder	/ˈlɔndɚ/
laundry	/ˈlɔndri/
lava	/ˈlɑvə, ˈlæ-/
lavatory	/ˈlævəˌtori/
lavender	/ˈlævəndɚ/
lavish	/ˈlævɪʃ/
law	/ˈlɔ/
lawful	/ˈlɔfəl/
lawn	/ˈlɔn/
lawsuit	/ˈlɔˌsuːt/
lawyer	/ˈlɔɪɚ, ˈlɔjɚ/
lax	/ˈlæks/
laxative	/ˈlæksət̬ɪv/
lay 1	/ˈleɪ/
laid	/ˈleɪd/
layer	/ˈleɪɚ/
layman	/ˈleɪmən/
layout	/ˈleɪˌaʊt/
lazy	/ˈleɪzi/
laziness	/ˈleɪzinəs/
lead 1	/ˈliːd/
led	/ˈlεd/
lead 2	/ˈlεd/
leaden	/ˈlεdən/
leader	/ˈliːdɚ/
leadership	/ˈliːdɚˌʃɪp/
leaf	/ˈliːf/
leaves	/ˈliːvz/
leaflet	/ˈliːflət/
league	/ˈliːg/
leak	/ˈliːk/
leaky	/ˈliːki/
lean 1	/ˈliːn/
leant	/ˈlεnt/
leaning	/ˈliːnɪŋ/
leanness	/ˈliːnnəs/
leap	/ˈliːp/
leaped	/ˈliːpt, ˈlεpt/
learn	/ˈlɚn/
learned	/ˈlɚnd, ˈlɚnt/
learned	/ˈlɚnəd/
learner	/ˈlɚnɚ/
learning	/ˈlɚnɪŋ/
lease	/ˈliːs/
leash	/ˈliːʃ/
least	/ˈliːst/
leather	/ˈlεðɚ/
leave	/ˈliːv/
left	/ˈlεft/
lecture	/ˈlεktʃɚ/
ledge	/ˈlεdƷ/
leech	/ˈliːtʃ/
leek	/ˈliːk/
leer	/ˈlɪr/
leery	/ˈlɪri/
leeway	/ˈliːˌweɪ/
left 2	/ˈlεft/
left–handed	/ˈlεftˈhandəd/
leftovers	/ˈlεftˌoːvɚz/
leg	/ˈlεg/
legacy	/ˈlεgəsi/
legal	/ˈliːgəl/
legality	/liˈgælət̬i/
legalize	/ˈliːgəˌlaɪz/
legend	/ˈlεdƷənd/
legendary	/ˈlεdƷənˌdεri/
legible	/ˈlεdƷəbəl/
legion	/ˈliːdƷən/
legislate	/ˈlεdƷəsˌleɪt/
legislation	/ˌlεdƷəsˈleɪʃən/
legislative	/ˈlεdƷəsˌleɪt̬ɪv/
legislature	/ˈlεdƷəsˌleɪtʃɚ/
legitimate	/lɪˈdƷɪt̬əmət/
legitimacy	/lɪˈdƷɪt̬əməsi/
leisure	/ˈliːƷɚ, ˈlε-/
leisurely	/ˈliːƷɚli, ˈlε-/
lemon	/ˈlεmən/
lemonade	/ˌlεməˈneɪd/
lend	/ˈlεnd/
lent	/ˈlεnt/
length	/ˈlεŋkθ/
lengthen	/ˈlεŋkθən/
lengthways	/ˈlεŋkθˌweɪz/
lengthwise	/ˈlεŋkθˌwaɪz/
lengthy	/ˈlεŋkθi/
lenient	/ˈliːniənt/
leniency	/ˈliːniənsi/
lens	/ˈlεnz/
Lent	/ˈlεnt/
lentil	/ˈlεntəl/
leopard	/ˈlεpɚd/
leotard	/ˈliːəˌtɑrd/
lesbian	/ˈlεzbiən/
less	/ˈlεs/
lessen	/ˈlεsən/
lesser	/ˈlεsɚ/
lesson	/ˈlεsən/
lest	/ˈlεst/
let	/ˈlεt/
let's	/ˈlεts/
letdown	/ˈlεtˌdaʊn/
lethal	/ˈliːθəl/
lethargic	/lɪˈθɑrdƷɪk/
letter	/ˈlεt̬ɚ/
lettuce	/ˈlεt̬əs/
letup	/ˈlεtˌəp/
leukemia	/luːˈkiːmiə/
level	/ˈlεvəl/
levelheaded	/ˈlεvəlˈhεdəd/
lever	/ˈlεvɚ, ˈliː-/
leverage	/ˈlεvɚɪdƷ, ˈliː-/
levity	/ˈlεvət̬i/
levy	/ˈlεvi/
lewd	/ˈluːd/
lexicon	/ˈlεksɪˌkɑn/
ica	/-kə/
liable	/ˈlaɪəbəl/
liability	/ˌlaɪəˈbɪlət̬i/
liaison	/ˈliːəˌzɑn, liˈeɪ-/
liar	/ˈlaɪɚ/
libel	/ˈlaɪbəl/
liberal	/ˈlɪbrəl, ˈlɪbɚəl/
liberate	/ˈlɪbəˌreɪt/
liberation	/ˌlɪbəˈreɪʃən/
liberty	/ˈlɪbɚt̬i/
library	/ˈlaɪˌbrεri/
librarian	/laɪˈbrεəriən/
licence	/ˈlaɪsəns/
lick	/ˈlɪk/
licorice	/ˈlɪkɚɪʃ, -rəs/
lid	/ˈlɪd/
lie 1	/ˈlaɪ/
lay	/ˈleɪ/
lain	/ˈleɪn/
lying	/ˈlaɪɪŋ/
lied; lying	/ˈlaɪɪŋ/
lieutenant	/luːˈtεnənt/
life	/ˈlaɪf/
lives	/ˈlaɪvz/
lifeboat	/ˈlaɪfˌboːt/
lifeguard	/ˈlaɪfˌgɑrd/
lifeless	/ˈlaɪfləs/
lifelike	/ˈlaɪfˌlaɪk/
lifelong	/ˈlaɪfˈlɔŋ/
lifestyle	/ˈlaɪfˌstaɪl/
lifetime	/ˈlaɪfˌtaɪm/
lift	/ˈlɪft/
liftoff	/ˈlɪftˌɔf/
light 1	/ˈlaɪt/
lit	/ˈlɪt/
lightbulb	/ˈlaɪtˌbʌlb/
lighten	/ˈlaɪtən/
lighter	/ˈlaɪt̬ɚ/
lighthouse	/ˈlaɪtˌhaʊs/
lighting	/ˈlaɪt̬ɪŋ/
lightning	/ˈlaɪtnɪŋ/
light–year	/ˈlaɪtˌjɪr/
lighten	/ˈlaɪtən/
lightly	/ˈlaɪtli/
lightness	/ˈlaɪtnəs/
lightweight	/ˈlaɪtˈweɪt/
like 1	/ˈlaɪk/
likeable	/ˈlaɪkəbəl/
likelihood	/ˈlaɪkliˌhʊd/
likely	/ˈlaɪkli/
liken	/ˈlaɪkən/
likeness	/ˈlaɪknəs/
likewise	/ˈlaɪkˌwaɪz/
liking	/ˈlaɪkɪŋ/
lilac	/ˈlaɪlək, -ˌlæk, -ˌlɑk/
lily	/ˈlɪli/
bean	/ˈlaɪmə/
limb	/ˈlɪm/
limber	/ˈlɪmbɚ/
limbo	/ˈlɪmˌboː/
lime	/ˈlaɪm/
limelight	/ˈlaɪmˌlaɪt/
limerick	/ˈlɪmɚɪk/
limestone	/ˈlaɪmˌstoːn/
limit	/ˈlɪmət/
limitation	/ˌlɪməˈteɪʃən/
limited	/ˈlɪmət̬əd/
limousine	/ˈlɪməˌziːn, ˌlɪməˈ-/
limp 1	/ˈlɪmp/
line	/ˈlaɪn/
lineage	/ˈlɪniɪdƷ/
linear	/ˈlɪniɚ/
linen	/ˈlɪnən/
liner	/ˈlaɪnɚ/
lineup	/ˈlaɪnˌəp/
linger	/ˈlɪŋgɚ/
lingerie	/ˌlɑndƷəˈreɪ, ˌlænƷəˈriː/
lingo	/ˈlɪŋgo/
linguistics	/lɪŋˈgwɪstɪks/
linguist	/ˈlɪŋgwɪst/
linguistic	/lɪŋˈgwɪstɪk/
lining	/ˈlaɪnɪŋ/
link	/ˈlɪŋk/
linoleum	/ləˈnoːliəm/
lint	/ˈlɪnt/
lion	/ˈlaɪən/
lioness	/ˈlaɪənɪs/
lip	/ˈlɪp/
lipstick	/ˈlɪpˌstɪk/
liqueur	/lɪˈkʊr, -ˈkɚ, -ˈkjʊr/
liquid	/ˈlɪkwəd/
liquidate	/ˈlɪkwəˌdeɪt/
liquidation	/ˌlɪkwəˈdeɪʃən/
liquor	/ˈlɪkɚ/
lisp	/ˈlɪsp/
list 1	/ˈlɪst/
listen	/ˈlɪsən/
listener	/ˈlɪsənɚ/
listless	/ˈlɪstləs/
lit	/ˈlɪt/
litany	/ˈlɪtəni/
liter	/ˈliːt̬ɚ/
literacy	/ˈlɪt̬ɚəsi/
literal	/ˈlɪt̬ɚəl/
literate	/ˈlɪt̬ɚət/
literature	/ˈlɪt̬ɚəˌtʃʊr, -tʃɚ/
literary	/ˈlɪt̬əˌrεri/
lithe	/ˈlaɪð, ˈlaɪθ/
litigation	/ˌlɪt̬əˈgeɪʃən/
litter	/ˈlɪt̬ɚ/
little	/ˈlɪtəl/
less	/ˈlεs/
lesser	/ˈlεsɚ/
least	/ˈliːst/
less	/ˈlεs/
least	/ˈliːst/
liturgy	/ˈlɪt̬ɚdƷi/
liturgical	/ləˈtɚdƷɪkəl/
live	/ˈlɪv/
~	/ˈlaɪv/
livelihood	/ˈlaɪvliˌhʊd/
lively	/ˈlaɪvli/
liven	/ˈlaɪvən/
liver	/ˈlɪvɚ/
livestock	/ˈlaɪvˌstɑk/
livid	/ˈlɪvəd/
living	/ˈlɪvɪŋ/
lizard	/ˈlɪzɚd/
llama	/ˈlɑmə, ˈjɑ-/
load	/ˈloːd/
loaf 1	/ˈloːf/
loaves	/ˈloːvz/
loafer	/ˈloːfɚ/
loan	/ˈloːn/
loathe	/ˈloːð/
loathsome	/ˈloːθsəm, ˈloːð-/
lobby	/ˈlɑbi/
lobe	/ˈloːb/
lobster	/ˈlɑbstɚ/
local	/ˈloːkəl/
locale	/loˈkæl/
locality	/loˈkælət̬i/
locate	/ˈloːˌkeɪt, loˈkeɪt/
location	/loˈkeɪʃən/
lock 1	/ˈlɑk/
locker	/ˈlɑkɚ/
locket	/ˈlɑkət/
locksmith	/ˈlɑkˌsmɪθ/
locomotive	/ˌloːkəˈmoːt̬ɪv/
locust	/ˈloːkəst/
lodge	/ˈlɑdƷ/
lodger	/ˈlɑdƷɚ/
lodging	/ˈlɑdƷɪŋ/
loft	/ˈlɔft/
lofty	/ˈlɔfti/
log	/ˈlɔg, ˈlɑg/
logger	/ˈlɔgɚ, ˈlɑ-/
logic	/ˈlɑdƷɪk/
logical	/ˈlɑdƷɪkəl/
logistics	/ləˈdƷɪstɪks, lo-/
logo	/ˈloːˌgoː/
logos	/-ˌgoːz/
loin	/ˈlɔɪn/
loiter	/ˈlɔɪt̬ɚ/
lollypop	/ˈlɑliˌpɑp/
lone	/ˈloːn/
loneliness	/ˈloːnlinəs/
lonely	/ˈloːnli/
loner	/ˈloːnɚ/
lonesome	/ˈloːnsəm/
long 1	/ˈlɔŋ/
longer	/ˈlɔngɚ/
longest	/ˈlɔŋgəst/
longevity	/lɑnˈdƷεvət̬i/
longing	/lɔŋɪŋ/
longitude	/ˈlɑndƷəˌtuːd, -ˌtjuːd/
look	/ˈlʊk/
lookout	/ˈlʊkˌaʊt/
loom 1	/ˈluːm/
loop	/ˈluːp/
loophole	/ˈluːpˌhoːl/
loose	/ˈluːs/
loosely	/ˈluːsli/
loosen	/ˈluːsən/
loot	/ˈluːt/
looter	/ˈluːt̬ɚ/
looting	/ˈluːt̬ɪŋ/
lop	/ˈlɑp/
lopsided	/ˈlɑpˌsaɪdəd/
lord	/ˈlɔrd/
lore	/ˈlor/
lose	/ˈluːz/
lost	/ˈlɔst/
losing	/ˈluːzɪŋ/
loser	/ˈluːzɚ/
loss	/ˈlɔs/
lost	/ˈlɔst/
lot	/ˈlɑt/
lotion	/ˈloːʃən/
lottery	/ˈlɑt̬ɚi/
loud	/ˈlaʊd/
loudly	/ˈlaʊdli/
loudspeaker	/ˈlaʊdˌspiːkɚ/
lounge	/ˈlaʊndƷ/
louse	/ˈlaʊs/
lice	/ˈlaɪs/
lousy	/ˈlaʊzi/
love	/ˈlʌv/
lovable	/ˈlʌvəbəl/
lovely	/ˈlʌvli/
lover	/ˈlʌvɚ/
loving	/ˈlʌvɪŋ/
low	/ˈloː/
lower	/ˈloːɚ/
lower	/ˈloːɚ/
lowly	/ˈloːli/
loyal	/ˈlɔɪəl/
loyalty	/ˈlɔɪəlti/
lozenge	/ˈlɑzəndƷ/
lubricate	/ˈluːbrɪˌkeɪt/
lubricant	/ˈluːbrɪkənt/
lubrication	/ˌluːbrɪˈkeɪʃən/
lucid	/ˈluːsəd/
lucidity	/luːˈsɪdət̬i/
luck	/ˈlʌk/
luckily	/ˈlʌkəli/
lucky	/ˈlʌki/
lucrative	/ˈluːkrət̬ɪv/
ludicrous	/ˈluːdəkrəs/
lug	/ˈlʌg/
luggage	/ˈlʌgɪdƷ/
lukewarm	/ˈluːkˈwɔrm/
lull	/ˈlʌl/
lullaby	/ˈlʌləˌbaɪ/
lumber	/ˈlʌmbɚ/
lumberjack	/ˈlʌmbɚˌdƷæk/
luminous	/ˈluːmənəs/
lump	/ˈlʌmp/
lumpy	/ˈlʌmpi/
lunacy	/ˈluːnəsi/
lunar	/ˈluːnɚ/
lunatic	/ˈluːnəˌtɪk/
lunch	/ˈlʌntʃ/
luncheon	/ˈlʌntʃən/
lung	/ˈlʌŋ/
lunge	/ˈlʌndƷ/
lurch 1	/ˈlɚtʃ/
lure	/ˈlʊr/
lurid	/ˈlʊrəd/
lurk	/ˈlɚk/
luscious	/ˈlʌʃəs/
lush	/ˈlʌʃ/
lust	/ˈlʌst/
lustre	/ˈlʌstɚ/
lusty	/ˈlʌsti/
luxurious	/ˌlʌgˈƷʊriəs, ˌlʌkˈʃʊr-/
luxury	/ˈlʌkʃɚi, ˈlʌgƷə-/
lye	/ˈlaɪ/
lynch	/ˈlɪntʃ/
lynx	/ˈlɪŋks/
lyric	/ˈlɪrɪk/
lyrical	/ˈlɪrɪkəl/
m	/ˈεm/
ms	/ˈεmz/
ma'am	/ˈmæm/
macabre	/məˈkɑb, -ˈkɑbɚ, -ˈkɑbrə/
macaroni	/ˌmækəˈroːni/
mace	/ˈmeɪs/
machete	/məˈʃεt̬i/
machine	/məˈʃiːn/
machinery	/məˈʃiːnɚi/
mad	/ˈmæd/
madam	/ˈmædəm/
mesdames	/meɪˈdɑm/
madden	/ˈmædən/
madly	/ˈmædli/
madman	/ˈmædˌmæn, -mən/
madmen	/-mən, -ˌmεn/
madness	/ˈmædnəs/
Mafia	/ˈmɑfiə/
magazine	/ˈmægəˌziːn/
maggot	/ˈmægət/
magic	/ˈmædƷɪk/
magical	/ˈmædƷɪkəl/
magician	/məˈdƷɪʃən/
magistrate	/ˈmædƷəˌstreɪt/
magnanimous	/mægˈnænəməs/
magnate	/ˈmægˌneɪt, -nət/
magnet	/ˈmægnət/
magnetic	/mægˈnεt̬ɪk/
magnetism	/ˈmægnəˌtɪzəm/
magnetize	/ˈmægnəˌtaɪz/
magnificent	/mægˈnɪfəsənt/
magnificence	/mægˈnɪfəsəns/
magnify	/ˈmægnəˌfaɪ/
magnitude	/ˈmægnəˌtuːd, -ˌtjuːd/
magnolia	/mægˈnoːljə/
mahogany	/məˈhɑgəni/
maid	/ˈmeɪd/
maiden	/ˈmeɪdən/
mail	/ˈmeɪl/
mailbox	/ˈmeɪlˌbɑks/
mailman	/ˈmeɪlˌmæn, -mən/
mailmen	/-mən, -ˌmεn/
maim	/ˈmeɪm/
main	/ˈmeɪn/
mainframe	/ˈmeɪnˌfreɪm/
mainland	/ˈmeɪnˌlænd, -lənd/
mainly	/ˈmeɪnli/
mainstay	/ˈmeɪnˌsteɪ/
mainstream	/ˈmeɪnˌstriːm/
maintain	/meɪnˈteɪn/
maintenance	/ˈmeɪntənəns/
maize	/ˈmeɪz/
majestic	/məˈdƷεstɪk/
majesty	/ˈmædƷəsti/
major	/ˈmeɪdƷɚ/
majority	/məˈdƷɔrət̬i/
make	/ˈmeɪk/
made	/ˈmeɪd/
make–believe	/ˌmeɪkbəˈliːv/
maker	/ˈmeɪkɚ/
makeshift	/ˈmeɪkˌʃɪft/
makeup	/ˈmeɪkˌʌp/
maladjusted	/ˌmæləˈdƷʌstəd/
malaria	/məˈlεəriə/
male	/ˈmeɪl/
malevolent	/məˈlεvələnt/
malfunction	/mælˈfʌŋkʃən/
malice	/ˈmælɪs/
malicious	/məˈlɪʃəs/
malign	/məˈlaɪn/
malignant	/məˈlɪgnənt/
mall	/ˈmɔl/
malleable	/ˈmæliəbəl/
mallet	/ˈmælət/
malnutrition	/ˌmælnʊˈtrɪʃən, -njʊ-/
malpractice	/ˌmælˈpræktəs/
malt	/ˈmɔlt/
mamma	/ˈmɑmə/
mammal	/ˈmæməl/
mammogram	/ˈmæməˌgræm/
mammoth	/ˈmæməθ/
man	/ˈmæn/
men	/ˈmεn/
manage	/ˈmænɪdƷ/
manageable	/ˈmænɪdƷəbəl/
management	/ˈmænɪdƷmənt/
manager	/ˈmænɪdƷɚ/
managerial	/ˌmænəˈdƷɪriəl/
mandarin	/ˈmændɚən/
mandate	/ˈmænˌdeɪt/
mandatory	/ˈmændəˌtori/
mane	/ˈmeɪn/
maneuver	/məˈnuːvɚ, -ˈnjuː-/
mangle	/ˈmæŋgəl/
mango	/ˈmæŋˌgoː/
mangy	/ˈmeɪndƷi/
manhandle	/ˈmænˌhændəl/
manhole	/ˈmænˌhoːl/
manhood	/ˈmænˌhʊd/
mania	/ˈmeɪniə, -njə/
maniac	/ˈmeɪniˌæk/
manicure	/ˈmænəˌkjʊr/
manifest	/ˈmænəˌfεst/
manifesto	/ˌmænəˈfεsˌtoː/
manipulate	/məˈnɪpjəˌleɪt/
manipulation	/məˌnɪpjəˈleɪʃən/
mankind	/ˈmænˈkaɪnd, ˌkaɪnd/
manly	/ˈmænli/
manliness	/ˈmænlinəs/
mannequin	/ˈmænɪkən/
manner	/ˈmænɚ/
mannerism	/ˈmænəˌrɪzəm/
manor	/ˈmænɚ/
manpower	/ˈmænˌpaʊɚ/
mansion	/ˈmænʃən/
manslaughter	/ˈmænˌslɔt̬ɚ/
mantel	/ˈmæntəl/
mantelpiece	/ˈmæntəlˌpiːs/
manual	/ˈmænjʊəl/
manufacture	/ˌmænjəˈfæktʃɚ/
manufacturer	/ˌmænjəˈfæktʃɚɚ/
manure	/məˈnʊr, -ˈnjʊr/
manuscript	/ˈmænjəˌskrɪpt/
many	/ˈmεni/
more	/ˈmor/
most	/ˈmoːst/
man–made	/ˈmænˈmeɪd/
map	/ˈmæp/
maple	/ˈmeɪpəl/
mar	/ˈmɑr/
marathon	/ˈmærəˌθɑn/
marble	/ˈmɑrbəl/
march	/ˈmɑrtʃ/
March	/ˈmɑrtʃ/
mare	/ˈmεər/
margarine	/ˈmɑrdƷɚən/
margin	/ˈmɑrdƷən/
marginal	/ˈmɑrdƷənəl/
marigold	/ˈmærəˌgoːld/
marijuana	/ˌmærəˈhwɑnə/
marinate	/ˈmærəˌneɪt/
marine	/məˈriːn/
marionette	/ˌmæriəˈnεt/
marital	/ˈmærət̬əl/
maritime	/ˈmærəˌtaɪm/
mark	/ˈmɑrk/
marked	/ˈmɑrkt/
markedly	/ˈmɑrkədli/
marker	/ˈmɑrkɚ/
market	/ˈmɑrkət/
marketable	/ˈmɑrkət̬əbəl/
marketplace	/ˈmɑrkətˌpleɪs/
marksman	/ˈmɑrksmən/
marksmen	/-mən, -ˌmεn/
marksmanship	/ˈmɑrksmənˌʃɪp/
marmalade	/ˈmɑrməˌleɪd/
maroon 1	/məˈruːn/
marquee	/mɑrˈkiː/
marriage	/ˈmærɪdƷ/
married	/ˈmærid/
marrow	/ˈmæroː/
marry	/ˈmæri/
Mars	/ˈmɑrz/
marsh	/ˈmɑrʃ/
marshal	/ˈmɑrʃəl/
marshmallow	/ˈmɑrʃˌmεloː, -ˌmæloː/
marshy	/ˈmɑrʃi/
mart	/ˈmɑrt/
martial	/ˈmɑrʃəl/
martyr	/ˈmɑrt̬ɚ/
marvel	/ˈmɑrvəl/
marvelous	/ˈmɑrvələs/
mascara	/mæsˈkærə/
mascot	/ˈmæsˌkɑt, -kət/
masculine	/ˈmæskjələn/
masculinity	/ˌmæskjəˈlɪnət̬i/
mash	/ˈmæʃ/
mask	/ˈmæsk/
masochism	/ˈmæsəˌkɪzəm, ˈmæzə-/
masochist	/ˈmæsəˌkɪst, ˈmæzə-/
masochistic	/ˌmæsəˈkɪstɪk, ˌmæzə-/
mason	/ˈmeɪsən/
masonry	/ˈmeɪsənri/
masquerade	/ˌmæskəˈreɪd/
mass	/ˈmæs/
Mass	/ˈmæs/
massacre	/ˈmæsɪkɚ/
massage	/məˈsɑƷ, -ˈsɑdƷ/
masseur	/mæˈsɚ/
masseuse	/mæˈsəz, -ˈsɚz, -ˈsuːz/
massive	/ˈmæsɪv/
mast	/ˈmæst/
master	/ˈmæstɚ/
masterful	/ˈmæstɚfəl/
masterpiece	/ˈmæstɚˌpiːs/
mastery	/ˈmæstɚi/
masturbate	/ˈmæstɚˌbeɪt/
masturbation	/ˌmæstɚˈbeɪʃən/
mat	/ˈmæt/
matador	/ˈmæt̬əˌdɔr/
match	/ˈmætʃ/
mate	/ˈmeɪt/
material	/məˈtɪriəl/
materialistic	/məˌtɪriəˈlɪstɪk/
materialize	/məˈtɪriəˌlaɪz/
maternal	/məˈtɚnəl/
maternity	/məˈtɚnət̬i/
math	/ˈmæθ/
mathematics	/ˌmæθəˈmæt̬ɪks/
mathematical	/ˌmæθəˈmæt̬ɪkəl/
mathematician	/ˌmæθəməˈtɪʃən/
matinée	/ˌmætənˈeɪ/
matrimony	/ˈmætrəˌmoːni/
matrimonial	/ˌmætrəˈmoːniəl/
matrix	/ˈmeɪtrɪks/
matrices	/ˈmeɪtrəˌsiːz, ˈmæ-/
matrixes	/ˈmeɪtrɪksəz/
matte	/ˈmæt/
matter	/ˈmæt̬ɚ/
mattress	/ˈmætrəs/
mature	/məˈtʊr, -ˈtjʊr, -ˈtʃʊr/
maturity	/məˈtʊrət̬i, -ˈtjʊr-, -ˈtʃʊr-/
maul	/ˈmɔl/
mauve	/ˈmoːv, ˈmɔv/
maxim	/ˈmæksəm/
